	mass_A
t	frame	ω	x	y	r	θ	pixelx	pixely
1.004000E0	2.008000E3		-2.002857E1	1.847057E1	2.724528E1	1.373174E2	1.060892E2	8.295541E1
1.008000E0	2.016000E3	1.597754E2	-2.025324E1	1.824372E1	2.725852E1	1.379881E2	1.063138E2	8.272857E1
1.012000E0	2.024000E3	1.528445E2	-2.039951E1	1.798736E1	2.719715E1	1.385956E2	1.064601E2	8.247221E1
1.016000E0	2.032000E3	2.098655E2	-2.062119E1	1.779292E1	2.723640E1	1.392109E2	1.066818E2	8.227777E1
1.020000E0	2.040000E3	2.296583E2	-2.096344E1	1.741993E1	2.725656E1	1.402745E2	1.070240E2	8.190478E1
1.024000E0	2.048000E3	1.870690E2	-2.120596E1	1.714278E1	2.726843E1	1.410481E2	1.072666E2	8.162762E1
1.028000E0	2.056000E3	1.941684E2	-2.135918E1	1.682548E1	2.719028E1	1.417711E2	1.074198E2	8.131033E1
1.032000E0	2.064000E3	2.166453E2	-2.156770E1	1.648887E1	2.714864E1	1.426015E2	1.076283E2	8.097372E1
1.036000E0	2.072000E3	2.113819E2	-2.189967E1	1.620239E1	2.724175E1	1.435042E2	1.079603E2	8.068724E1
1.040000E0	2.080000E3	2.236400E2	-2.209811E1	1.588348E1	2.721418E1	1.442925E2	1.081587E2	8.036833E1
1.044000E0	2.088000E3	2.273443E2	-2.230842E1	1.545090E1	2.713661E1	1.452934E2	1.083690E2	7.993575E1
1.048000E0	2.096000E3	1.753438E2	-2.248929E1	1.510575E1	2.709154E1	1.461113E2	1.085499E2	7.959060E1
1.052000E0	2.104000E3	2.186347E2	-2.261843E1	1.485972E1	2.706298E1	1.466961E2	1.086790E2	7.934457E1
1.056000E0	2.112000E3	2.688071E2	-2.296525E1	1.442823E1	2.712152E1	1.478604E2	1.090259E2	7.891308E1
1.060000E0	2.120000E3	2.024766E2	-2.319298E1	1.402041E1	2.710140E1	1.488466E2	1.092536E2	7.850526E1
1.064000E0	2.128000E3	2.155762E2	-2.327813E1	1.372272E1	2.702192E1	1.494802E2	1.093387E2	7.820757E1
1.068000E0	2.136000E3	2.302622E2	-2.348474E1	1.324853E1	2.696399E1	1.505712E2	1.095453E2	7.773338E1
1.072000E0	2.144000E3	2.655328E2	-2.367637E1	1.295048E1	2.698676E1	1.513223E2	1.097370E2	7.743533E1
1.076000E0	2.152000E3	2.838018E2	-2.400458E1	1.239210E1	2.701452E1	1.526954E2	1.100652E2	7.687695E1
1.080000E0	2.160000E3	2.128920E2	-2.421210E1	1.202285E1	2.703284E1	1.535927E2	1.102727E2	7.650769E1
1.084000E0	2.168000E3	2.405347E2	-2.432151E1	1.165365E1	2.696931E1	1.543986E2	1.103821E2	7.613850E1
1.088000E0	2.176000E3	2.370240E2	-2.450356E1	1.115816E1	2.692451E1	1.555170E2	1.105642E2	7.564301E1
1.092000E0	2.184000E3	2.648088E2	-2.465881E1	1.082714E1	2.693109E1	1.562948E2	1.107194E2	7.531199E1
1.096000E0	2.192000E3	2.930201E2	-2.500759E1	1.028930E1	2.704162E1	1.576354E2	1.110682E2	7.477415E1
1.100000E0	2.200000E3	2.849913E2	-2.510284E1	9.818019E0	2.695452E1	1.586389E2	1.111634E2	7.430287E1
1.104000E0	2.208000E3	2.788788E2	-2.527995E1	9.243466E0	2.691687E1	1.599154E2	1.113406E2	7.372831E1
1.108000E0	2.216000E3	2.794002E2	-2.535333E1	8.794262E0	2.683524E1	1.608700E2	1.114139E2	7.327911E1
1.112000E0	2.224000E3	2.504142E2	-2.550980E1	8.214591E0	2.679981E1	1.621506E2	1.115704E2	7.269944E1
1.116000E0	2.232000E3	2.735920E2	-2.557285E1	7.880290E0	2.675947E1	1.628733E2	1.116335E2	7.236514E1
1.120000E0	2.240000E3	3.163051E2	-2.591894E1	7.266308E0	2.691822E1	1.643393E2	1.119795E2	7.175116E1
1.124000E0	2.248000E3	3.095497E2	-2.604726E1	6.782995E0	2.691596E1	1.654037E2	1.121079E2	7.126784E1
1.128000E0	2.256000E3	2.800934E2	-2.621059E1	6.140064E0	2.692017E1	1.668157E2	1.122712E2	7.062491E1
1.132000E0	2.264000E3	2.695102E2	-2.619793E1	5.738677E0	2.681910E1	1.676445E2	1.122585E2	7.022353E1
1.136000E0	2.272000E3	3.043313E2	-2.634944E1	5.135283E0	2.684518E1	1.689718E2	1.124100E2	6.962013E1
1.140000E0	2.280000E3	2.987496E2	-2.636909E1	4.612046E0	2.676939E1	1.700791E2	1.124297E2	6.909689E1
1.144000E0	2.288000E3	2.867857E2	-2.647866E1	4.022594E0	2.678247E1	1.713618E2	1.125393E2	6.850744E1
1.148000E0	2.296000E3	3.009119E2	-2.645496E1	3.542344E0	2.669107E1	1.723734E2	1.125156E2	6.802719E1
1.152000E0	2.304000E3	3.294979E2	-2.649493E1	2.892744E0	2.665238E1	1.737691E2	1.125555E2	6.737759E1
1.156000E0	2.312000E3	3.179234E2	-2.658177E1	2.321214E0	2.668292E1	1.750094E2	1.126424E2	6.680606E1
1.160000E0	2.320000E3	3.360241E2	-2.677813E1	1.725819E0	2.683369E1	1.763125E2	1.128387E2	6.621067E1
1.164000E0	2.328000E3	3.154183E2	-2.694761E1	1.083467E0	2.696938E1	1.776976E2	1.130082E2	6.556832E1
