	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
3.432000E0	6.864000E3	-1.549045E1	-2.568153E1	2.999158E1	-1.210973E2		7.898089E1	9.110828E1
3.436000E0	6.872000E3	-1.439748E1	-2.636616E1	3.004101E1	-1.186371E2	6.229105E2	8.007386E1	9.179291E1
3.440000E0	6.880000E3	-1.321549E1	-2.695945E1	3.002434E1	-1.161140E2	6.243182E2	8.125585E1	9.238620E1
3.444000E0	6.888000E3	-1.204043E1	-2.750369E1	3.002374E1	-1.136426E2	6.100272E2	8.243091E1	9.293045E1
3.448000E0	6.896000E3	-1.083961E1	-2.789734E1	2.992923E1	-1.112338E2	6.242688E2	8.363173E1	9.332409E1
3.452000E0	6.904000E3	-9.541794E0	-2.827376E1	2.984043E1	-1.086484E2	6.597140E2	8.492954E1	9.370051E1
3.456000E0	6.912000E3	-8.217489E0	-2.874089E1	2.989257E1	-1.059561E2	6.627248E2	8.625385E1	9.416764E1
3.460000E0	6.920000E3	-6.861610E0	-2.892145E1	2.972427E1	-1.033467E2	6.792095E2	8.760973E1	9.434820E1
3.464000E0	6.928000E3	-5.411425E0	-2.913380E1	2.963211E1	-1.005224E2	6.465045E2	8.905991E1	9.456055E1
3.468000E0	6.936000E3	-4.205801E0	-2.927812E1	2.957866E1	-9.817461E1	6.315949E2	9.026554E1	9.470487E1
3.472000E0	6.944000E3	-2.813130E0	-2.937850E1	2.951288E1	-9.546966E1	6.848240E2	9.165821E1	9.480525E1
3.476000E0	6.952000E3	-1.390182E0	-2.952229E1	2.955500E1	-9.269602E1	6.816346E2	9.308116E1	9.494904E1
3.480000E0	6.960000E3	-8.554337E-3	-2.954881E1	2.954881E1	-9.001659E1	6.321448E2	9.446278E1	9.497556E1
3.484000E0	6.968000E3	1.210379E0	-2.935466E1	2.937960E1	-8.763886E1	6.510362E2	9.568172E1	9.478141E1
3.488000E0	6.976000E3	2.655189E0	-2.922250E1	2.934288E1	-8.480830E1	7.336460E2	9.712653E1	9.464925E1
