	mass_A
t	frame	x	y	r	θ	pixelx	pixely
2.006000E0	4.012000E3	0.000000E0	8.152866E-1	8.152866E-1	9.000000E1	9.761792E1	8.922045E1
2.008000E0	4.016000E3	-6.832285E-3	8.118526E-1	8.118814E-1	9.048217E1	9.768698E1	8.919102E1
2.010000E0	4.020000E3	-8.886698E-3	8.109722E-1	8.110209E-1	9.062783E1	9.776178E1	8.917217E1
2.012000E0	4.024000E3	-4.090673E-3	8.146367E-1	8.146470E-1	9.028771E1	9.782989E1	8.915649E1
2.014000E0	4.028000E3	7.902563E-3	8.201226E-1	8.201607E-1	8.944792E1	9.789541E1	8.911716E1
2.016000E0	4.032000E3	2.785899E-2	8.267201E-1	8.271893E-1	8.806997E1	9.796592E1	8.911522E1
2.018000E0	4.036000E3	5.828044E-2	9.496801E-1	9.514667E-1	8.648825E1	9.804823E1	8.897454E1
2.020000E0	4.040000E3	3.658078E-1	9.369021E-1	1.005784E0	6.867214E1	9.837194E1	8.896973E1
2.022000E0	4.044000E3	4.803630E-1	8.203818E-1	9.506708E-1	5.964950E1	9.853032E1	8.894058E1
2.024000E0	4.048000E3	3.240030E-1	8.538524E-1	9.132589E-1	6.922024E1	9.861050E1	8.893357E1
2.026000E0	4.052000E3	2.289940E-1	8.904528E-1	9.194262E-1	7.557799E1	9.869558E1	8.890791E1
2.028000E0	4.056000E3	1.682967E-1	9.185395E-1	9.338301E-1	7.961731E1	9.876775E1	8.886638E1
2.030000E0	4.060000E3	1.302840E-1	9.417239E-1	9.506933E-1	8.212334E1	9.881290E1	8.884305E1
2.032000E0	4.064000E3	1.107875E-1	9.644011E-1	9.707437E-1	8.344676E1	9.888997E1	8.881180E1
2.034000E0	4.068000E3	2.339253E-1	1.157760E0	1.181156E0	7.857718E1	9.908305E1	8.862222E1
2.036000E0	4.072000E3	4.823200E-1	1.406430E0	1.486835E0	7.107115E1	9.939108E1	8.836448E1
2.038000E0	4.076000E3	5.692353E-1	1.499065E0	1.603504E0	6.920689E1	9.951511E1	8.826867E1
2.040000E0	4.080000E3	6.089174E-1	1.554118E0	1.669151E0	6.860431E1	9.963071E1	8.820347E1
2.042000E0	4.084000E3	5.151567E-1	1.415903E0	1.506707E0	7.000678E1	9.966761E1	8.815107E1
2.044000E0	4.088000E3	3.669809E-1	1.250746E0	1.303472E0	7.364780E1	9.976037E1	8.813418E1
2.046000E0	4.092000E3	2.848389E-1	1.151707E0	1.186407E0	7.610843E1	9.981874E1	8.808714E1
2.048000E0	4.096000E3	2.407958E-1	1.082212E0	1.108678E0	7.745584E1	9.991352E1	8.805813E1
2.050000E0	4.100000E3	2.097891E-1	1.033209E0	1.054292E0	7.852235E1	9.996241E1	8.801230E1
2.052000E0	4.104000E3	2.076530E-1	1.122811E0	1.141851E0	7.952209E1	1.000500E2	8.786769E1
2.054000E0	4.108000E3	4.881946E-1	1.073829E0	1.179594E0	6.555204E1	1.004013E2	8.785774E1
2.056000E0	4.112000E3	5.803761E-1	1.064985E0	1.212860E0	6.141130E1	1.005446E2	8.781661E1
2.058000E0	4.116000E3	6.186051E-1	1.063253E0	1.230113E0	5.980897E1	1.006369E2	8.779812E1
2.060000E0	4.120000E3	6.966992E-1	9.695412E-1	1.193901E0	5.429949E1	1.007806E2	8.773451E1
2.062000E0	4.124000E3	5.002745E-1	1.284654E0	1.378626E0	6.872289E1	1.008226E2	8.741822E1
2.064000E0	4.128000E3	3.982415E-1	1.397070E0	1.452722E0	7.408954E1	1.009048E2	8.727989E1
2.066000E0	4.132000E3	3.367856E-1	1.456889E0	1.495309E0	7.698371E1	1.009737E2	8.721075E1
2.068000E0	4.136000E3	3.147833E-1	1.563475E0	1.594849E0	7.861650E1	1.010566E2	8.709970E1
2.070000E0	4.140000E3	5.707486E-1	1.580789E0	1.680669E0	7.014773E1	1.014068E2	8.706303E1
2.072000E0	4.144000E3	6.519926E-1	1.604538E0	1.731946E0	6.788598E1	1.015514E2	8.700884E1
2.074000E0	4.148000E3	6.887181E-1	1.647216E0	1.785400E0	6.730969E1	1.016448E2	8.699382E1
2.076000E0	4.152000E3	6.010987E-1	1.531144E0	1.644908E0	6.856595E1	1.017080E2	8.693166E1
2.078000E0	4.156000E3	4.343722E-1	1.374722E0	1.441714E0	7.246497E1	1.017861E2	8.689274E1
2.080000E0	4.160000E3	3.376676E-1	1.279783E0	1.323580E0	7.521949E1	1.018488E2	8.683687E1
2.082000E0	4.164000E3	2.782201E-1	1.211074E0	1.242621E0	7.706192E1	1.019167E2	8.680341E1
2.084000E0	4.168000E3	3.443305E-1	1.307155E0	1.351746E0	7.524240E1	1.020872E2	8.662020E1
2.086000E0	4.172000E3	5.788483E-1	1.521384E0	1.627782E0	6.916945E1	1.023979E2	8.633076E1
2.088000E0	4.176000E3	6.527202E-1	1.590031E0	1.718791E0	6.768146E1	1.025393E2	8.621152E1
2.090000E0	4.180000E3	6.855118E-1	1.614379E0	1.753895E0	6.699253E1	1.026254E2	8.613292E1
2.092000E0	4.184000E3	7.070804E-1	1.637999E0	1.784098E0	6.665144E1	1.027094E2	8.605776E1
2.094000E0	4.188000E3	6.210181E-1	1.518774E0	1.640835E0	6.776062E1	1.027974E2	8.601202E1
2.096000E0	4.192000E3	4.604493E-1	1.344476E0	1.421136E0	7.109495E1	1.028409E2	8.596031E1
2.098000E0	4.196000E3	3.659765E-1	1.230616E0	1.283883E0	7.343789E1	1.029107E2	8.590814E1
2.100000E0	4.200000E3	3.112986E-1	1.166064E0	1.206902E0	7.505262E1	1.029706E2	8.584569E1
2.102000E0	4.204000E3	3.799545E-1	1.249405E0	1.305902E0	7.308505E1	1.031365E2	8.568007E1
2.104000E0	4.208000E3	6.052636E-1	1.472328E0	1.591884E0	6.765279E1	1.034550E2	8.537561E1
2.106000E0	4.212000E3	6.758049E-1	1.544635E0	1.686004E0	6.636978E1	1.035991E2	8.523564E1
2.108000E0	4.216000E3	7.064432E-1	1.573065E0	1.724412E0	6.581577E1	1.036975E2	8.517042E1
2.110000E0	4.220000E3	7.336345E-1	1.593837E0	1.754576E0	6.528365E1	1.037530E2	8.509787E1
2.112000E0	4.224000E3	6.702168E-1	1.492951E0	1.636488E0	6.582370E1	1.038372E2	8.503010E1
2.114000E0	4.228000E3	5.065126E-1	1.309603E0	1.404142E0	6.885512E1	1.039033E2	8.498723E1
2.116000E0	4.232000E3	4.175274E-1	1.202483E0	1.272908E0	7.085193E1	1.039832E2	8.493532E1
2.118000E0	4.236000E3	3.596406E-1	1.213883E0	1.266039E0	7.349688E1	1.040357E2	8.479655E1
2.120000E0	4.240000E3	6.400867E-1	1.178195E0	1.340841E0	6.148578E1	1.044143E2	8.472095E1
2.122000E0	4.244000E3	7.113507E-1	1.430937E0	1.597999E0	6.356701E1	1.045754E2	8.440643E1
2.124000E0	4.248000E3	7.363837E-1	1.511235E0	1.681098E0	6.402128E1	1.046648E2	8.424354E1
2.126000E0	4.252000E3	7.538985E-1	1.540787E0	1.715339E0	6.392775E1	1.047224E2	8.415024E1
2.128000E0	4.256000E3	6.946952E-1	1.464107E0	1.620558E0	6.461641E1	1.048000E2	8.409352E1
2.130000E0	4.260000E3	5.168202E-1	1.289545E0	1.389255E0	6.816021E1	1.048784E2	8.401038E1
2.132000E0	4.264000E3	4.067946E-1	1.168109E0	1.236915E0	7.079929E1	1.049288E2	8.396584E1
2.134000E0	4.268000E3	3.444976E-1	1.094489E0	1.147426E0	7.252827E1	1.050007E2	8.392177E1
2.136000E0	4.272000E3	3.745390E-1	1.140719E0	1.200633E0	7.182313E1	1.051114E2	8.376587E1
2.138000E0	4.276000E3	6.193855E-1	1.392172E0	1.523739E0	6.601543E1	1.054507E2	8.342066E1
2.140000E0	4.280000E3	6.910167E-1	1.471535E0	1.625706E0	6.484577E1	1.055942E2	8.328670E1
2.142000E0	4.284000E3	7.264181E-1	1.502673E0	1.669044E0	6.420007E1	1.056764E2	8.316198E1
2.144000E0	4.288000E3	6.763205E-1	1.433527E0	1.585058E0	6.474263E1	1.057649E2	8.310105E1
2.146000E0	4.292000E3	4.958702E-1	1.254004E0	1.348485E0	6.842469E1	1.058130E2	8.302212E1
2.148000E0	4.296000E3	3.873590E-1	1.146202E0	1.209887E0	7.132731E1	1.058789E2	8.295356E1
2.150000E0	4.300000E3	3.170703E-1	1.075723E0	1.121479E0	7.357708E1	1.059310E2	8.291019E1
2.152000E0	4.304000E3	2.766607E-1	1.036557E0	1.072843E0	7.505592E1	1.059889E2	8.284850E1
2.154000E0	4.308000E3	3.091750E-1	1.087266E0	1.130370E0	7.412636E1	1.060972E2	8.268247E1
2.156000E0	4.312000E3	5.775668E-1	1.345021E0	1.463784E0	6.676078E1	1.064402E2	8.235286E1
2.158000E0	4.316000E3	6.659678E-1	1.442880E0	1.589156E0	6.522410E1	1.065977E2	8.219901E1
2.160000E0	4.320000E3	7.018125E-1	1.479960E0	1.637932E0	6.462920E1	1.066718E2	8.211437E1
2.162000E0	4.324000E3	6.832719E-1	1.448915E0	1.601941E0	6.475261E1	1.067209E2	8.202311E1
2.164000E0	4.328000E3	4.975330E-1	1.291051E0	1.383601E0	6.892481E1	1.068057E2	8.191875E1
2.166000E0	4.332000E3	3.731247E-1	1.181035E0	1.238574E0	7.246710E1	1.068555E2	8.186763E1
2.168000E0	4.336000E3	3.001046E-1	1.120108E0	1.159614E0	7.500131E1	1.069093E2	8.178382E1
2.170000E0	4.340000E3	3.005349E-1	1.089839E0	1.130517E0	7.458322E1	1.069925E2	8.169843E1
2.172000E0	4.344000E3	2.839849E-1	1.371899E0	1.400984E0	7.830488E1	1.070707E2	8.133436E1
2.174000E0	4.348000E3	5.708144E-1	1.463505E0	1.570884E0	6.869261E1	1.074193E2	8.115848E1
2.176000E0	4.352000E3	6.375688E-1	1.500862E0	1.630669E0	6.698413E1	1.075533E2	8.105036E1
2.178000E0	4.356000E3	6.699750E-1	1.309842E0	1.471242E0	6.291058E1	1.076414E2	8.096682E1
2.180000E0	4.360000E3	6.899358E-1	1.200928E0	1.385005E0	6.012254E1	1.077076E2	8.087447E1
2.182000E0	4.364000E3	7.088838E-1	1.154850E0	1.355063E0	5.845707E1	1.077583E2	8.078448E1
2.184000E0	4.368000E3	5.148392E-1	1.110774E0	1.224287E0	6.513247E1	1.078125E2	8.070696E1
2.186000E0	4.372000E3	4.090529E-1	1.378229E0	1.437651E0	7.346932E1	1.078807E2	8.033618E1
2.188000E0	4.376000E3	3.421863E-1	1.453396E0	1.493134E0	7.675160E1	1.079484E2	8.016878E1
2.190000E0	4.380000E3	3.172584E-1	1.478550E0	1.512205E0	7.788945E1	1.080079E2	8.005499E1
2.192000E0	4.384000E3	2.758240E-1	1.276630E0	1.306087E0	7.780829E1	1.080289E2	7.997043E1
2.194000E0	4.388000E3	5.725842E-1	1.183375E0	1.314621E0	6.417966E1	1.084012E2	7.988439E1
2.196000E0	4.392000E3	6.406598E-1	1.130805E0	1.299679E0	6.046620E1	1.085494E2	7.975293E1
2.198000E0	4.396000E3	6.892458E-1	1.390598E0	1.552038E0	6.363482E1	1.086379E2	7.937339E1
2.200000E0	4.400000E3	7.153521E-1	1.462816E0	1.628361E0	6.394026E1	1.087066E2	7.919735E1
2.202000E0	4.404000E3	7.490787E-1	1.481986E0	1.660542E0	6.318540E1	1.087497E2	7.907966E1
2.204000E0	4.408000E3	7.744641E-1	1.320983E0	1.531271E0	5.961782E1	1.088042E2	7.898753E1
2.206000E0	4.412000E3	5.622992E-1	1.186631E0	1.313116E0	6.464552E1	1.088619E2	7.889354E1
