	mass_A
t	frame	x	y	r	ω	pixelx	pixely
5.032200E1	1.006440E5	-2.459394E1	1.380333E1	2.820272E1		6.131689E1	5.121578E1
5.032400E1	1.006480E5	-2.712080E1	6.095708E0	2.779740E1	8.441283E3	5.879003E1	5.892340E1
5.032600E1	1.006520E5	-2.744442E1	-2.141536E0	2.752785E1	8.579342E3	5.846641E1	6.716064E1
5.032800E1	1.006560E5	-2.521510E1	-1.000883E1	2.712891E1	8.683940E3	6.069573E1	7.502794E1
5.033000E1	1.006600E5	-2.095846E1	-1.709185E1	2.704419E1	8.811640E3	6.495237E1	8.211095E1
5.033200E1	1.006640E5	-1.462136E1	-2.242618E1	2.677159E1	8.734273E3	7.128947E1	8.744529E1
5.033400E1	1.006680E5	-7.303259E0	-2.569735E1	2.671500E1	8.534065E3	7.860757E1	9.071646E1
5.033600E1	1.006720E5	4.854686E-1	-2.692854E1	2.693291E1	8.535840E3	8.639630E1	9.194764E1
5.033800E1	1.006760E5	8.457710E0	-2.560664E1	2.696725E1	8.565075E3	9.436854E1	9.062574E1
5.034000E1	1.006800E5	1.542105E1	-2.178548E1	2.669113E1	8.566167E3	1.013319E2	8.680459E1
5.034200E1	1.006840E5	2.117656E1	-1.622427E1	2.667721E1	8.737749E3	1.070874E2	8.124337E1
5.034400E1	1.006880E5	2.514782E1	-9.031905E0	2.672056E1	8.842844E3	1.110586E2	7.405101E1
5.034600E1	1.006920E5	2.686775E1	-9.785722E-1	2.688556E1	8.753999E3	1.127786E2	6.599768E1
5.034800E1	1.006960E5	2.609891E1	7.120328E0	2.705276E1	8.653290E3	1.120097E2	5.789878E1
5.035000E1	1.007000E5	2.318189E1	1.478401E1	2.749485E1	8.577575E3	1.090927E2	5.023510E1
5.035200E1	1.007040E5	1.818736E1	2.134773E1	2.804470E1	8.434796E3	1.040982E2	4.367138E1
5.035400E1	1.007080E5	1.156463E1	2.630310E1	2.873315E1	8.164407E3	9.747546E1	3.871601E1
5.035600E1	1.007120E5	3.918381E0	2.870937E1	2.897554E1	7.845466E3	8.982921E1	3.630974E1
5.035800E1	1.007160E5	-3.884307E0	2.892544E1	2.918508E1	7.782091E3	8.202652E1	3.609366E1
5.036000E1	1.007200E5	-1.148917E1	2.660543E1	2.898017E1	7.983026E3	7.442166E1	3.841368E1
5.036200E1	1.007240E5	-1.826778E1	2.209732E1	2.867060E1	8.222967E3	6.764305E1	4.292179E1
5.036400E1	1.007280E5	-2.353604E1	1.572731E1	2.830713E1	8.322552E3	6.237479E1	4.929180E1
5.036600E1	1.007320E5	-2.664395E1	8.211702E0	2.788068E1	8.416239E3	5.926688E1	5.680741E1
5.036800E1	1.007360E5	-2.749204E1	4.163637E-2	2.749207E1	8.624769E3	5.841879E1	6.497747E1
5.037000E1	1.007400E5	-2.591310E1	-8.105631E0	2.715125E1	8.656681E3	5.999772E1	7.312474E1
5.037200E1	1.007440E5	-2.215047E1	-1.524634E1	2.689041E1	8.641460E3	6.376036E1	8.026545E1
5.037400E1	1.007480E5	-1.657226E1	-2.116241E1	2.687912E1	8.688665E3	6.933857E1	8.618152E1
5.037600E1	1.007520E5	-9.487149E0	-2.509987E1	2.683299E1	8.629338E3	7.642368E1	9.011898E1
5.037800E1	1.007560E5	-1.660148E0	-2.678185E1	2.683326E1	8.578053E3	8.425068E1	9.180096E1
5.038000E1	1.007600E5	6.334655E0	-2.617069E1	2.692643E1	8.518733E3	9.224548E1	9.118980E1
5.038200E1	1.007640E5	1.363836E1	-2.312764E1	2.684945E1	8.515522E3	9.954919E1	8.814675E1
5.038400E1	1.007680E5	1.972350E1	-1.796658E1	2.667985E1	8.643923E3	1.056343E2	8.298569E1
5.038600E1	1.007720E5	2.408115E1	-1.117630E1	2.654828E1	8.836603E3	1.099920E2	7.619540E1
5.038800E1	1.007760E5	2.646092E1	-3.241810E0	2.665876E1	8.903057E3	1.123717E2	6.826092E1
5.039000E1	1.007800E5	2.646970E1	5.009040E0	2.693948E1	8.746279E3	1.123805E2	6.001007E1
5.039200E1	1.007840E5	2.413214E1	1.283152E1	2.733145E1	8.586851E3	1.100430E2	5.218759E1
5.039400E1	1.007880E5	1.971347E1	1.975698E1	2.790984E1	8.468720E3	1.056243E2	4.526213E1
5.039600E1	1.007920E5	1.338991E1	2.505109E1	2.840505E1	8.227254E3	9.930074E1	3.996802E1
5.039800E1	1.007960E5	6.012657E0	2.821993E1	2.885336E1	7.921399E3	9.192348E1	3.679918E1
5.040000E1	1.008000E5	-1.799690E0	2.892005E1	2.897600E1	7.791136E3	8.411114E1	3.609906E1
5.040200E1	1.008040E5	-9.482428E0	2.732697E1	2.892542E1	7.858449E3	7.642840E1	3.769214E1
5.040400E1	1.008080E5	-1.658059E1	2.368419E1	2.891119E1	8.038838E3	6.933023E1	4.133491E1
5.040600E1	1.008120E5	-2.224791E1	1.782899E1	2.851039E1	8.242779E3	6.366292E1	4.719012E1
5.040800E1	1.008160E5	-2.611057E1	1.056747E1	2.816795E1	8.332823E3	5.980026E1	5.445163E1
5.041000E1	1.008200E5	-2.773288E1	2.610121E0	2.785543E1	8.392659E3	5.817795E1	6.240899E1
5.041200E1	1.008240E5	-2.671605E1	-5.453150E0	2.726690E1	8.610372E3	5.919478E1	7.047226E1
5.041400E1	1.008280E5	-2.345342E1	-1.303517E1	2.683241E1	8.788954E3	6.245741E1	7.805427E1
5.041600E1	1.008320E5	-1.835954E1	-1.947742E1	2.676645E1	8.768733E3	6.755128E1	8.449652E1
5.041800E1	1.008360E5	-1.161486E1	-2.396219E1	2.662878E1	8.760114E3	7.429596E1	8.898130E1
5.042000E1	1.008400E5	-3.844089E0	-2.645609E1	2.673391E1	8.722350E3	8.206674E1	9.147520E1
5.042200E1	1.008440E5	4.179550E0	-2.630194E1	2.663194E1	8.551919E3	9.009038E1	9.132104E1
5.042400E1	1.008480E5	1.171234E1	-2.407737E1	2.677496E1	8.508082E3	9.762317E1	8.909648E1
5.042600E1	1.008520E5	1.817463E1	-1.944800E1	2.661845E1	8.661252E3	1.040855E2	8.446711E1
5.042800E1	1.008560E5	2.320350E1	-1.308228E1	2.663735E1	8.762136E3	1.091143E2	7.810139E1
5.043000E1	1.008600E5	2.615315E1	-5.506543E0	2.672657E1	8.863378E3	1.120640E2	7.052565E1
5.043200E1	1.008640E5	2.687875E1	2.843538E0	2.702874E1	8.781703E3	1.127896E2	6.217557E1
5.043400E1	1.008680E5	2.504853E1	1.075489E1	2.725980E1	8.552890E3	1.109594E2	5.426421E1
5.043600E1	1.008720E5	2.130302E1	1.803465E1	2.791178E1	8.392309E3	1.072138E2	4.698446E1
5.043800E1	1.008760E5	1.555837E1	2.378120E1	2.841845E1	8.208485E3	1.014692E2	4.123791E1
5.044000E1	1.008800E5	8.397270E0	2.761170E1	2.886035E1	8.080392E3	9.430810E1	3.740741E1
5.044200E1	1.008840E5	4.440570E-1	2.916382E1	2.916720E1	7.913692E3	8.635489E1	3.585529E1
5.044400E1	1.008880E5	-7.395241E0	2.811061E1	2.906709E1	7.878098E3	7.851559E1	3.690850E1
5.044600E1	1.008920E5	-1.473248E1	2.487155E1	2.890744E1	7.966142E3	7.117835E1	4.014755E1
5.044800E1	1.008960E5	-2.072548E1	1.959653E1	2.852313E1	8.098346E3	6.518535E1	4.542258E1
5.045000E1	1.009000E5	-2.504955E1	1.274497E1	2.810542E1	8.267313E3	6.086128E1	5.227413E1
5.045200E1	1.009040E5	-2.716677E1	4.950254E0	2.761410E1	8.420952E3	5.874405E1	6.006885E1
5.045400E1	1.009080E5	-2.716344E1	-3.199261E0	2.735119E1	8.619575E3	5.874739E1	6.821837E1
5.045600E1	1.009120E5	-2.469599E1	-1.107361E1	2.706505E1	8.779942E3	6.121483E1	7.609272E1
5.045800E1	1.009160E5	-2.004645E1	-1.794692E1	2.690636E1	8.864335E3	6.586437E1	8.296602E1
5.046000E1	1.009200E5	-1.354772E1	-2.309952E1	2.677926E1	8.745578E3	7.236311E1	8.811863E1
5.046200E1	1.009240E5	-6.126383E0	-2.615965E1	2.686745E1	8.424574E3	7.978445E1	9.117876E1
5.046400E1	1.009280E5	1.552020E0	-2.686017E1	2.690497E1	8.386179E3	8.746285E1	9.187928E1
5.046600E1	1.009320E5	9.365761E0	-2.523223E1	2.691436E1	8.569993E3	9.527659E1	9.025134E1
5.046800E1	1.009360E5	1.632824E1	-2.121266E1	2.676917E1	8.645317E3	1.022391E2	8.623177E1
5.047000E1	1.009400E5	2.180720E1	-1.530061E1	2.663949E1	8.748379E3	1.077180E2	8.031972E1
5.047200E1	1.009440E5	2.531972E1	-7.944210E0	2.653674E1	8.794785E3	1.112305E2	7.296332E1
5.047400E1	1.009480E5	2.671901E1	5.803522E-2	2.671908E1	8.766867E3	1.126298E2	6.496107E1
5.047600E1	1.009520E5	2.571306E1	8.180336E0	2.698295E1	8.717278E3	1.116239E2	5.683877E1
5.047800E1	1.009560E5	2.239265E1	1.567575E1	2.733422E1	8.588687E3	1.083035E2	4.934336E1
