	mass_A
t	frame	x	y	r	θ	ω	pixelx	pixely
1.172000E0	2.344000E3	1.977070E1	-1.650955E1	2.575745E1	-3.986362E1		1.091465E2	8.132484E1
1.176000E0	2.352000E3	2.043515E1	-1.723018E1	2.672966E1	-4.013638E1	2.809495E1	1.098109E2	8.204547E1
1.180000E0	2.360000E3	2.057101E1	-1.704133E1	2.671279E1	-3.963886E1	1.157398E2	1.099468E2	8.185662E1
1.184000E0	2.368000E3	2.067964E1	-1.687219E1	2.668929E1	-3.921046E1	9.585999E1	1.100554E2	8.168747E1
1.188000E0	2.376000E3	2.073790E1	-1.671664E1	2.663656E1	-3.887198E1	1.257023E2	1.101137E2	8.153192E1
1.192000E0	2.384000E3	2.082037E1	-1.638687E1	2.649561E1	-3.820484E1	1.283730E2	1.101962E2	8.120215E1
1.196000E0	2.392000E3	2.089984E1	-1.623788E1	2.646643E1	-3.784500E1	1.367310E2	1.102756E2	8.105317E1
1.200000E0	2.400000E3	2.117413E1	-1.602026E1	2.655170E1	-3.711099E1	1.588543E2	1.105499E2	8.083554E1
1.204000E0	2.408000E3	2.135870E1	-1.584743E1	2.659578E1	-3.657416E1	1.263830E2	1.107345E2	8.066272E1
1.208000E0	2.416000E3	2.146545E1	-1.565283E1	2.656645E1	-3.609993E1	1.488432E2	1.108412E2	8.046812E1
1.212000E0	2.424000E3	2.158445E1	-1.532987E1	2.647439E1	-3.538342E1	1.632606E2	1.109602E2	8.014516E1
1.216000E0	2.432000E3	2.171247E1	-1.508710E1	2.643959E1	-3.479384E1	1.383310E2	1.110883E2	7.990238E1
1.220000E0	2.440000E3	2.182501E1	-1.487505E1	2.641208E1	-3.427677E1	1.117369E2	1.112008E2	7.969033E1
1.224000E0	2.448000E3	2.181689E1	-1.466031E1	2.628500E1	-3.389995E1	1.157990E2	1.111927E2	7.947560E1
1.228000E0	2.456000E3	2.190208E1	-1.441456E1	2.621985E1	-3.335038E1	1.756812E2	1.112779E2	7.922985E1
1.232000E0	2.464000E3	2.219080E1	-1.413410E1	2.630978E1	-3.249450E1	1.955822E2	1.115666E2	7.894939E1
1.236000E0	2.472000E3	2.238297E1	-1.387031E1	2.633216E1	-3.178572E1	1.549673E2	1.117588E2	7.868559E1
1.240000E0	2.480000E3	2.246155E1	-1.363255E1	2.627485E1	-3.125476E1	1.699111E2	1.118373E2	7.844784E1
1.244000E0	2.488000E3	2.262650E1	-1.328893E1	2.624032E1	-3.042643E1	1.871516E2	1.120023E2	7.810421E1
1.248000E0	2.496000E3	2.273870E1	-1.300021E1	2.619264E1	-2.975755E1	1.518896E2	1.121145E2	7.781550E1
1.252000E0	2.504000E3	2.275863E1	-1.272527E1	2.607466E1	-2.921132E1	1.782942E2	1.121344E2	7.754056E1
1.256000E0	2.512000E3	2.285963E1	-1.232470E1	2.597039E1	-2.833119E1	1.672334E2	1.122354E2	7.713999E1
1.260000E0	2.520000E3	2.297423E1	-1.215060E1	2.598947E1	-2.787345E1	1.663472E2	1.123500E2	7.696589E1
1.264000E0	2.528000E3	2.322737E1	-1.183515E1	2.606879E1	-2.700042E1	1.789675E2	1.126032E2	7.665044E1
1.268000E0	2.536000E3	2.330969E1	-1.159219E1	2.603306E1	-2.644171E1	1.779909E2	1.126855E2	7.640747E1
1.272000E0	2.544000E3	2.347195E1	-1.123404E1	2.602184E1	-2.557649E1	2.115014E2	1.128477E2	7.604932E1
1.276000E0	2.552000E3	2.361229E1	-1.088527E1	2.600057E1	-2.474970E1	1.716067E2	1.129881E2	7.570055E1
1.280000E0	2.560000E3	2.360968E1	-1.061241E1	2.588514E1	-2.420363E1	1.843098E2	1.129855E2	7.542770E1
1.284000E0	2.568000E3	2.373548E1	-1.020995E1	2.583827E1	-2.327522E1	2.096790E2	1.131113E2	7.502523E1
1.288000E0	2.576000E3	2.382905E1	-9.883086E0	2.579727E1	-2.252620E1	1.713019E2	1.132048E2	7.469837E1
1.292000E0	2.584000E3	2.379575E1	-9.568148E0	2.564736E1	-2.190480E1	1.602835E2	1.131715E2	7.438343E1
1.296000E0	2.592000E3	2.389773E1	-9.290406E0	2.564007E1	-2.124393E1	2.084564E2	1.132735E2	7.410569E1
1.300000E0	2.600000E3	2.417523E1	-8.912556E0	2.576578E1	-2.023715E1	2.247033E2	1.135510E2	7.372784E1
1.304000E0	2.608000E3	2.426440E1	-8.566892E0	2.573233E1	-1.944631E1	2.222488E2	1.136402E2	7.338218E1
1.308000E0	2.616000E3	2.441740E1	-8.150599E0	2.574183E1	-1.845916E1	2.266164E2	1.137932E2	7.296589E1
1.312000E0	2.624000E3	2.444010E1	-7.768528E0	2.564505E1	-1.763338E1	2.449174E2	1.138159E2	7.258381E1
1.316000E0	2.632000E3	2.456255E1	-7.275674E0	2.561746E1	-1.649982E1	2.594920E2	1.139383E2	7.209096E1
1.320000E0	2.640000E3	2.466897E1	-6.867952E0	2.560716E1	-1.555744E1	2.006205E2	1.140448E2	7.168324E1
1.324000E0	2.648000E3	2.463597E1	-6.552759E0	2.549255E1	-1.489486E1	2.131321E2	1.140118E2	7.136805E1
1.328000E0	2.656000E3	2.472495E1	-6.097006E0	2.546560E1	-1.385238E1	2.367473E2	1.141008E2	7.091229E1
1.332000E0	2.664000E3	2.466851E1	-5.695574E0	2.531749E1	-1.300088E1	2.524712E2	1.140443E2	7.051086E1
1.336000E0	2.672000E3	2.475260E1	-5.185793E0	2.528999E1	-1.183261E1	2.553276E2	1.141284E2	7.000108E1
1.340000E0	2.680000E3	2.466942E1	-4.776601E0	2.512760E1	-1.095826E1	2.642843E2	1.140452E2	6.959189E1
1.344000E0	2.688000E3	2.475931E1	-4.240344E0	2.511980E1	-9.718339E0	2.712285E2	1.141351E2	6.905563E1
1.348000E0	2.696000E3	2.466969E1	-3.813969E0	2.496277E1	-8.788430E0	2.773988E2	1.140455E2	6.862926E1
1.352000E0	2.704000E3	2.474054E1	-3.256780E0	2.495398E1	-7.499149E0	2.849447E2	1.141163E2	6.807207E1
1.356000E0	2.712000E3	2.481755E1	-2.831496E0	2.497856E1	-6.508872E0	2.283647E2	1.141934E2	6.764678E1
1.360000E0	2.720000E3	2.468846E1	-2.452152E0	2.480994E1	-5.672231E0	2.419290E2	1.140643E2	6.726744E1
1.364000E0	2.728000E3	2.475952E1	-1.980552E0	2.483861E1	-4.573440E0	2.624539E2	1.141353E2	6.679584E1
1.368000E0	2.736000E3	2.465599E1	-1.539385E0	2.470399E1	-3.572599E0	2.706475E2	1.140318E2	6.635467E1
1.372000E0	2.744000E3	2.471949E1	-1.039624E0	2.474134E1	-2.408261E0	2.719652E2	1.140953E2	6.585491E1
1.376000E0	2.752000E3	2.458081E1	-5.994017E-1	2.458812E1	-1.396878E0	2.809930E2	1.139566E2	6.541469E1
1.380000E0	2.760000E3	2.467296E1	-6.903653E-2	2.467306E1	-1.603169E-1	2.871230E2	1.140488E2	6.488432E1
1.384000E0	2.768000E3	2.453779E1	3.855160E-1	2.454082E1	9.001064E-1	2.884966E2	1.139136E2	6.442977E1
1.388000E0	2.776000E3	2.458622E1	9.220134E-1	2.460350E1	2.147656E0	3.017561E2	1.139620E2	6.389327E1
1.392000E0	2.784000E3	2.445674E1	1.416229E0	2.449771E1	3.314155E0	2.951577E2	1.138325E2	6.339906E1
