Voltage	Start	End	RPM
19000	15.26	24.30	442.4778761
19000	24.30	33.30	444.4444444
19000	33.30	42.30	444.4444444
19500	5.57	13.50	504.4136192
19500	13.50	21.40	506.3291139
19500	21.40	29.34	503.7783375
20000	0.46	8.00	530.5039788
20000	8.00	15.5	533.3333333
20000	15.5	22.9	540.5405405
20500	4.7	11.46	591.7159763
20500	11.46	18.1	602.4096386
20500	18.1	24.86	591.7159763
21000	2.6	8.92	632.9113924
21000	8.92	15.2	636.9426752
21000	15.2	21.51	633.9144216
21500	5.76	11.53	693.2409012
21500	11.53	17.3	693.2409012
21500	17.3	23.1	689.6551724
22000	3.53	8.9	744.8789572
22000	8.9	14.23	750.4690432
22000	14.23	19.6	744.8789572
22500	3.4	8.4	800
22500	8.4	13.37	804.8289738
22500	13.37	18.37	800
23000	0.43	4.83	909.0909091
23000	4.83	9.2	915.3318078
23000	9.2	13.6	909.0909091
23500	0.66	5.03	915.3318078
23500	5.03	9.43	909.0909091
23500	9.43	13.76	923.7875289
24000	3.6	7.46	1036.26943
24000	7.46	11.3	1041.666667
24000	11.3	15.13	1044.386423
24500	2.67	6.51	1041.666667
24500	6.51	10.31	1052.631579
24500	10.31	14.11	1052.631579
25000	2.63	6.19	1123.595506
25000	6.19	9.76	1120.448179
25000	9.76	13.33	1120.448179
25500	2.68	6.04	1190.47619
25500	6.04	9.41	1186.94362
25500	9.41	12.81	1176.470588
26000	3.01	6.35	1197.60479
26000	6.35	9.68	1201.201201
26000	9.68	13.01	1201.201201
26500	1.88	5.11	1238.390093
26500	5.11	8.38	1223.24159
26500	8.38	11.61	1238.390093
27000	2.72	5.72	1333.333333
27000	5.72	8.72	1333.333333
27000	8.72	11.72	1333.333333
27500	0.32	3.32	1333.333333
27500	3.32	6.28	1351.351351
27500	6.28	9.25	1346.801347
28000	0.9	3.76	1398.601399
28000	3.76	6.63	1393.728223
28000	6.63	9.49	1398.601399
28500	1.87	4.67	1428.571429
28500	4.67	7.47	1428.571429
28500	7.47	10.27	1428.571429
29000	27.51	30.27	1449.275362
29000	35.84	38.64	1428.571429
29000	33.07	35.84	1444.043321
