t,frame,x,y,r,theta,omega,alpha
0.0000E+00,0.00E+00,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,,
4.0000E-03,2.00E+00,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,6.19E-01,
8.0000E-03,4.00E+00,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-1.35E+00,1.63E+01
1.2000E-02,6.00E+00,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,6.91E-01,3.96E+01
1.6000E-02,8.00E+00,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-1.18E-02,6.48E+01
2.0000E-02,1.00E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-2.73E-01,-2.65E+02
2.4000E-02,1.20E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-5.83E-01,2.60E+02
2.8000E-02,1.40E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,1.04E-01,-3.22E+01
3.2000E-02,1.60E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,9.77E-01,1.66E+02
3.6000E-02,1.80E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-8.06E-02,-3.38E+02
4.0000E-02,2.00E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-5.71E-01,2.64E+02
4.4000E-02,2.20E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,6.99E-01,-3.19E+01
4.8000E-02,2.40E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,9.06E-01,2.84E+01
5.2000E-02,2.60E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-6.99E-01,-2.26E+02
5.6000E-02,2.80E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,1.16E-01,1.52E+00
6.0000E-02,3.00E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-1.08E+00,-9.61E+01
6.4000E-02,3.20E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-7.65E-01,-9.89E+00
6.8000E-02,3.40E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-7.80E-01,-1.22E+02
7.2000E-02,3.60E+01,-1.44E+01,-2.20E+01,2.63E+01,-1.23E+02,-1.99E+00,2.97E+02
