t,frame,x,y,r,theta,omega,alpha
0.00000E+00,0.00E+00,2.19E+01,1.12E+01,2.46E+01,2.71E+01,,
2.00000E-03,4.00E+00,2.52E+01,2.60E+00,2.53E+01,5.90E+00,-1.04E+04,
4.00000E-03,8.00E+00,2.51E+01,-6.53E+00,2.59E+01,-1.46E+01,-1.01E+04,1.62E+05
6.00000E-03,1.20E+01,2.18E+01,-1.50E+01,2.64E+01,-3.45E+01,-9.77E+03,3.99E+04
8.00000E-03,1.60E+01,1.57E+01,-2.14E+01,2.66E+01,-5.37E+01,-9.87E+03,-1.10E+05
1.00000E-02,2.00E+01,7.23E+00,-2.53E+01,2.63E+01,-7.40E+01,-1.03E+04,-1.07E+05
1.20000E-02,2.40E+01,-2.24E+00,-2.61E+01,2.62E+01,-9.49E+01,-1.03E+04,4.92E+04
1.40000E-02,2.80E+01,-1.13E+01,-2.38E+01,2.63E+01,-1.15E+02,-1.01E+04,1.12E+05
1.60000E-02,3.20E+01,-1.87E+01,-1.86E+01,2.63E+01,-1.35E+02,-9.86E+03,6.88E+04
1.80000E-02,3.60E+01,-2.39E+01,-1.13E+01,2.65E+01,-1.55E+02,-9.79E+03,-2.55E+04
2.00000E-02,4.00E+01,-2.62E+01,-2.60E+00,2.63E+01,-1.74E+02,-9.95E+03,-1.05E+05
2.20000E-02,4.40E+01,-2.50E+01,6.48E+00,2.58E+01,-1.95E+02,-1.02E+04,-1.61E+05
2.40000E-02,4.80E+01,-2.05E+01,1.45E+01,2.51E+01,-2.15E+02,-1.06E+04,-1.56E+05
2.60000E-02,5.20E+01,-1.34E+01,2.05E+01,2.45E+01,-2.37E+02,-1.09E+04,-1.42E+05
2.80000E-02,5.60E+01,-4.65E+00,2.36E+01,2.41E+01,-2.59E+02,-1.11E+04,-6.64E+04
3.00000E-02,6.00E+01,4.71E+00,2.34E+01,2.39E+01,-2.81E+02,-1.12E+04,1.61E+04
3.20000E-02,6.40E+01,1.33E+01,2.00E+01,2.40E+01,-3.04E+02,-1.10E+04,8.24E+04
3.40000E-02,6.80E+01,2.01E+01,1.38E+01,2.43E+01,-3.26E+02,-1.09E+04,1.18E+05
3.60000E-02,7.20E+01,2.44E+01,5.61E+00,2.51E+01,-3.47E+02,-1.06E+04,1.42E+05
3.80000E-02,7.60E+01,2.54E+01,-3.50E+00,2.57E+01,-3.68E+02,-1.03E+04,1.73E+05
4.00000E-02,8.00E+01,2.31E+01,-1.24E+01,2.62E+01,-3.88E+02,-9.91E+03,1.05E+05
4.20000E-02,8.40E+01,1.80E+01,-1.96E+01,2.66E+01,-4.07E+02,-9.79E+03,-4.92E+04
4.40000E-02,8.80E+01,1.02E+01,-2.44E+01,2.64E+01,-4.27E+02,-1.01E+04,-1.20E+05
4.60000E-02,9.20E+01,9.01E-01,-2.62E+01,2.62E+01,-4.48E+02,-1.03E+04,-7.29E+03
4.80000E-02,9.60E+01,-8.42E+00,-2.50E+01,2.64E+01,-4.69E+02,-1.01E+04,1.10E+05
5.00000E-02,1.00E+02,-1.65E+01,-2.07E+01,2.64E+01,-4.89E+02,-9.87E+03,8.32E+04
5.20000E-02,1.04E+02,-2.24E+01,-1.40E+01,2.64E+01,-5.08E+02,-9.78E+03,2.39E+03
