V,R(ohms),V_shunt_trial1,V_shunt_trial2
8000,9850,0.004,0
9000,9850,0.009,0
10000,9850,0.016,0
11000,9850,0.027,0
12000,9850,0.037,0
13000,9850,0.046,0
14000,9850,0.06,0.065
15000,9850,0.089,0.065
16000,9850,0.112,0.078
17000,9850,0.151,0.092
18000,9850,0.2,0.109
19000,9850,,0.131
20000,9850,0.32,0.17
21000,9850,0.5,0.2
22000,9850,0.63,0.28
23000,9850,0.73,0.43
24000,9850,0.94,0.48
25000,9850,1,0.52
26000,9850,1.2,0.747
27000,9850,1.53,0.81
28000,9850,1.8,1.1
29000,9850,2.1,1.91
30000,9850,3,3
