V,deg/sec,speed(rpm)
17000,2686.3,447.7166667
17500,2704.8,450.8
18000,3227.2,537.8666667
18500,3881.1,646.85
19000,4066.6,677.7666667
19500,4217.2,702.8666667
20000,5185.5,864.25
20500,4380.5,730.0833333
21000,5064.3,844.05
21500,5162,860.3333333
22000,5541.4,923.5666667
22500,5875.4,979.2333333
23000,5511.6,918.6
23500,5414.1,902.35
24000,7060.2,1176.7
24500,6316.5,1052.75
25000,7773.7,1295.616667
25500,6697.8,1116.3
26000,7690.5,1281.75
26500,8080.9,1346.816667
27000,7547.1,1570
28000,7935.4,1700
30000,8512.1,1730
