L_total(mm),force_total(N),L_stator(mm),force_stator(N),L_rotor(mm),force_rotor(N),L_rotor(mm)_with_rotor_coverlay,force_rotor(N)_with_rotor_coverlay,L_total(mm)_with_rotor_coverlay,force_total(N)_with_rotor_coverlay
62,0,62,0,54,0,51,0,62,0
60,0.5,60,0.14,52,0.67,49,0.47,60,0.25
58,0.89,58,0.29,50,0.58,47,1.03,58,0.65
56,1,56,0.34,48,0.39,45,1.18,56,1.2
54,0.79,54,0.32,46,0.77,43,1.3,54,1.25
52,0.87,52,0.3,44,1.03,41,1.1,52,1.4
50,0.78,50,0.32,42,0.55,39,1.4,50,1.34
48,0.88,48,0.38,40,0.65,37,1.25,48,1.64
46,0.8,46,0.37,38,0.44,35,1.37,46,1.6
44,0.85,44,0.37,36,0.52,33,1.2,44,1.55
42,1.02,42,0.32,34,0.72,31,1.4,42,1.66
40,0.75,40,0.34,32,0.43,29,1.47,40,1.76
38,0.91,38,0.39,30,0.36,27,1.39,38,1.67
36,0.79,36,0.34,28,0.57,25,1.55,36,2.17
34,0.9,34,0.38,26,0.51,23,1.61,34,1.9
32,0.98,32,0.43,24,0.5,21,1.66,32,1.84
30,1.02,30,0.45,22,0.57,19,1.9,30,1.82
28,0.94,28,0.42,20,0.51,17,2.15,28,2.15
26,1.15,26,0.47,18,0.5,15,2.25,26,2.56
24,1.58,24,0.53,16,0.65,13,3,24,3.27
22,2.92,22,0.67,14,0.99,11,6.21,22,5.12
20,4.5,20,0.85,12,1.22,9,9.42,20,6.55
18,7.2,18,1.61,10,3.05,8,16.2,18,11.56
17,10.02,17,4,8,4.9,7,21.8,17,14
16,16,16,7,6,9,,,16,20.22
